question_id;forecast_source;forecast_version;option;probability;forecast_date
bfg_q1;perplexity;1;under 2,500;0,64;2026-07-22
bfg_q1;perplexity;1;2,500 to 4,999;0,2;2026-07-22
bfg_q1;perplexity;1;5,000 to 9,999;0,1;2026-07-22
bfg_q1;perplexity;1;10,000 to 19,999;0,04;2026-07-22
bfg_q1;perplexity;1;20,000 or more;0,02;2026-07-22
bfg_q2;perplexity;1;under 750;0,01;2026-07-22
bfg_q2;perplexity;1;750 to 1,499;0,35;2026-07-22
bfg_q2;perplexity;1;1,500 to 2,999;0,45;2026-07-22
bfg_q2;perplexity;1;3,000 to 4,999;0,15;2026-07-22
bfg_q2;perplexity;1;5,000 or more;0,04;2026-07-22
bfg_q3;perplexity;1;YES;0,65;2026-07-22
bfg_q3;perplexity;1;NO;0,35;2026-07-22
bfg_q4;perplexity;1;exactly 1;0,6;2026-07-22
bfg_q4;perplexity;1;2;0,25;2026-07-22
bfg_q4;perplexity;1;3;0,1;2026-07-22
bfg_q4;perplexity;1;4 or more;0,05;2026-07-22
bfg_q5;perplexity;1;trials ongoing, no efficacy results reported;0,3;2026-07-22
bfg_q5;perplexity;1;interim efficacy results reported from any BVD vaccine or therapeutic trial;0,4;2026-07-22
bfg_q5;perplexity;1;emergency use authorization or WHO emergency use listing granted for any BVD vaccine or therapeutic;0,2;2026-07-22
bfg_q5;perplexity;1;vaccine or therapeutic deployed at scale in affected countries beyond the trials;0,1;2026-07-22
bfg_q6;perplexity;1;0 to 4;0,25;2026-07-22
bfg_q6;perplexity;1;5 to 14;0,45;2026-07-22
bfg_q6;perplexity;1;15 to 29;0,18;2026-07-22
bfg_q6;perplexity;1;30 to 59;0,08;2026-07-22
bfg_q6;perplexity;1;60 or more;0,04;2026-07-22
bfg_q7;perplexity;1;YES;0,15;2026-07-22
bfg_q7;perplexity;1;NO;0,85;2026-07-22
bfg_q8;perplexity;1;H5N1;0,6;2026-07-22
bfg_q8;perplexity;1;H5N5;0,05;2026-07-22
bfg_q8;perplexity;1;Another H5Nx;0,15;2026-07-22
bfg_q8;perplexity;1;No human H5 cases reported in the period;0,2;2026-07-22
bfg_q9;perplexity;1;exactly 20;0,45;2026-07-22
bfg_q9;perplexity;1;21 to 23;0,35;2026-07-22
bfg_q9;perplexity;1;24 to 26;0,12;2026-07-22
bfg_q9;perplexity;1;27 or more;0,08;2026-07-22
bfg_q10;perplexity;1;0;0,7;2026-07-22
bfg_q10;perplexity;1;1;0,23;2026-07-22
bfg_q10;perplexity;1;2 or more;0,07;2026-07-22
bfg_q11;perplexity;1;under 200,000;0,02;2026-07-22
bfg_q11;perplexity;1;200,000 to 299,999;0,38;2026-07-22
bfg_q11;perplexity;1;300,000 to 449,999;0,4;2026-07-22
bfg_q11;perplexity;1;450,000 to 649,999;0,18;2026-07-22
bfg_q11;perplexity;1;650,000 or more;0,02;2026-07-22
bfg_q12;perplexity;1;YES;0,2;2026-07-22
bfg_q12;perplexity;1;NO;0,8;2026-07-22
bfg_q13;perplexity;1;under 3,000;0,15;2026-07-22
bfg_q13;perplexity;1;3,000 to 6,999;0,35;2026-07-22
bfg_q13;perplexity;1;7,000 to 11,999;0,3;2026-07-22
bfg_q13;perplexity;1;12,000 to 19,999;0,15;2026-07-22
bfg_q13;perplexity;1;20,000 or more;0,05;2026-07-22
bfg_q14;perplexity;1;under 3,000;0,12;2026-07-22
bfg_q14;perplexity;1;3,000 to 3,999;0,3;2026-07-22
bfg_q14;perplexity;1;4,000 to 5,499;0,34;2026-07-22
bfg_q14;perplexity;1;5,500 to 7,999;0,16;2026-07-22
bfg_q14;perplexity;1;8,000 or more;0,08;2026-07-22
bfg_q15;perplexity;1;YES;0,78;2026-07-22
bfg_q15;perplexity;1;NO;0,22;2026-07-22
bfg_q16;perplexity;1;0;0,78;2026-07-22
bfg_q16;perplexity;1;1;0,16;2026-07-22
bfg_q16;perplexity;1;2 to 3;0,04;2026-07-22
bfg_q16;perplexity;1;4 to 6;0,015;2026-07-22
bfg_q16;perplexity;1;7 or more;0,005;2026-07-22
bfg_q17;perplexity;1;under 175,000;0,005;2026-07-22
bfg_q17;perplexity;1;175,000 to 274,999;0,015;2026-07-22
bfg_q17;perplexity;1;275,000 to 399,999;0,08;2026-07-22
bfg_q17;perplexity;1;400,000 to 599,999;0,35;2026-07-22
bfg_q17;perplexity;1;600,000 or more;0,55;2026-07-22
bfg_q18;perplexity;1;under 1.5M;0,14;2026-07-22
bfg_q18;perplexity;1;1.5M to 1.99M;0,23;2026-07-22
bfg_q18;perplexity;1;2.0M to 2.99M;0,33;2026-07-22
bfg_q18;perplexity;1;3.0M to 4.49M;0,22;2026-07-22
bfg_q18;perplexity;1;4.5M or more;0,08;2026-07-22
bfg_q19;perplexity;1;0;0,01;2026-07-22
bfg_q19;perplexity;1;1;0,02;2026-07-22
bfg_q19;perplexity;1;2 to 3;0,7;2026-07-22
bfg_q19;perplexity;1;4 to 5;0,23;2026-07-22
bfg_q19;perplexity;1;6 or more;0,04;2026-07-22
bfg_q20;perplexity;1;8 or fewer;0,05;2026-07-22
bfg_q20;perplexity;1;9 to 11;0,15;2026-07-22
bfg_q20;perplexity;1;12 to 14;0,35;2026-07-22
bfg_q20;perplexity;1;15 to 17;0,25;2026-07-22
bfg_q20;perplexity;1;18 or more;0,2;2026-07-22
bfg_q21;perplexity;1;YES;0,3;2026-07-22
bfg_q21;perplexity;1;NO;0,7;2026-07-22
bfg_q22;perplexity;1;15 or fewer;0,3;2026-07-22
bfg_q22;perplexity;1;16 to 30;0,25;2026-07-22
bfg_q22;perplexity;1;31 to 50;0,2;2026-07-22
bfg_q22;perplexity;1;51 to 79;0,15;2026-07-22
bfg_q22;perplexity;1;80 or more;0,1;2026-07-22
bfg_q23;perplexity;1;YES;0,55;2026-07-22
bfg_q23;perplexity;1;NO;0,45;2026-07-22
bfg_q24;perplexity;1;under 250,000;0,3;2026-07-22
bfg_q24;perplexity;1;250,000 to 374,999;0,35;2026-07-22
bfg_q24;perplexity;1;375,000 to 524,999;0,2;2026-07-22
bfg_q24;perplexity;1;525,000 to 749,999;0,1;2026-07-22
bfg_q24;perplexity;1;750,000 or more;0,05;2026-07-22
bfg_q25;perplexity;1;under 2,000;0,05;2026-07-22
bfg_q25;perplexity;1;2,000 to 2,999;0,08;2026-07-22
bfg_q25;perplexity;1;3,000 to 3,999;0,12;2026-07-22
bfg_q25;perplexity;1;4,000 to 5,499;0,25;2026-07-22
bfg_q25;perplexity;1;5,500 or more;0,5;2026-07-22
